FNV	A32	DJB
1036	995	1012
1022	964	1004
971	961	1008
996	945	1005
928	1049	969
1042	977	1040
946	1032	987
1007	999	991
1076	969	1001
1018	970	1025
1022	1048	967
942	989	1003
956	962	1007
1023	1001	1008
1059	1031	1018
963	984	986
1025	1073	970
998	1013	986
975	1001	964
1034	1024	970
1012	967	967
1005	1012	1004
1006	958	1003
1035	1007	990
1056	990	1039
1000	974	999
1013	939	1013
1012	985	1059
1066	930	1015
936	1063	989
947	1032	1002
991	1004	977
987	1008	987
994	1028	978
984	1025	1018
1003	1013	984
1008	987	1011
947	1008	988
995	1021	1032
990	970	943
1017	1012	982
937	1023	1037
1017	998	1054
1018	1010	970
1038	973	1052
992	1033	995
1009	1023	981
968	945	937
967	1016	1040
1041	1013	997
989	1009	963
1012	1004	1046
1041	1043	993
1001	1006	1024
982	1013	988
1030	983	1038
1019	1017	1072
1063	1009	990
972	993	1033
1018	989	1021
1009	1038	971
1035	911	1043
1003	1029	999
998	1014	1004
957	1024	956
1005	996	991
993	954	1010
953	1003	990
968	1008	999
970	953	958
964	1044	995
953	936	1000
1023	995	1009
991	1010	1013
1048	1000	1002
969	996	1023
1030	979	948
980	1000	957
962	1035	1072
996	1014	990
968	964	1005
973	961	1007
986	1005	1051
984	992	965
1047	1006	989
1018	979	1022
1049	1007	1015
973	1026	996
982	1005	988
958	1062	936
1024	1032	921
921	969	990
1055	995	1024
1100	1001	975
983	991	1093
997	1000	949
1033	1033	1032
962	1019	1020
1004	988	980
1019	1006	980
